,author,count
926,villavicencio b.,1
927,ligabue-braun r.,1
928,garcía-melgarejo j.c.,1
929,lozano-crisóstomo n.,1
930,jesús escobedo-alatorre j.,1
931,salazar villanueva m.,1
932,merino g.,1
933,torres-cisneros m.,1
934,ferino-pérez a.,1
935,neutzling a.,1
936,sanches-neto f.o.,1
937,dos santos p.,1
938,araujo i.,1
939,sousa r.,1
940,faria m.h.r.,1
941,da nobrega r.v.t.,1
942,duarte u.r.,1
943,melchor-rodríguez k.,1
944,gamboa-carballo j.j.,1
945,passé-coutrin n.,1
946,zhao l.,1
947,gaspard s.,1
948,jáuregui-haza u.j.,1
949,valdés á.,1
950,paiva p.r.m.,1
951,amaral j.f.m.,1
952,domínguez-serna f.,1
953,moreno m.g.m.,1
954,fonseca a.,1
955,cunha m.m.,1
956,pan s.,1
957,sánchez-pérez k.j.,1
958,arroyo-rivera e.s.,1
959,souza j.a.,1
960,turney j.m.,1
961,berquist e.j.,1
962,lechner m.h.,1
963,cunha l.a.,1
964,heide a.g.,1
965,waldrop j.m.,1
966,takeshita t.y.,1
967,alenaizan a.,1
968,neuhauser d.,1
969,king r.a.,1
970,simmonett a.c.,1
971,schaefer h.f.,1
972,zhang b.,1
973,evangelista f.a.,1
974,deprince a.e.,1
975,crawford t.d.,1
976,patkowski k.,1
977,sherrill c.d.,1
978,moreira r.a.,1
979,neves l.,1
980,puentes g.,1
981,oliveira r.r.,1
982,borges h.s.,1
983,abbott a.s.,1
984,zhang t.,1
985,guzmán-cabrera r.,1
986,sassoli de bianchi m.,1
987,salazar j.m.,1
988,meneses-claudio b.,1
989,santos z.t.,1
990,roman-gonzalez a.,1
991,caramori g.f.,1
992,misturini a.,1
993,maioli a.c.,1
994,souza c.e.r.,1
995,schmidt a.g.m.,1
996,melucci m.,1
997,dos santos r.f.,1
998,schriber j.b.,1
999,diniz e.c.,1
1000,rossatto d.z.,1
1001,faz-hernández a.,1
1002,carneiro j.,1
1003,smith d.g.a.,1
1004,burns l.a.,1
1005,sirianni d.a.,1
1006,nascimento d.r.,1
1007,kumar a.,1
1008,james a.m.,1
1009,laflamme janssen j.,1
1010,levitt a.,1
1011,guerrero m r.j.,1
1012,maciel g.s.,1
1013,castellanos a.,1
1014,cuesta s.,1
1015,medina i.,1
1016,semião f.l.,1
1017,alemán-castañeda l.a.,1
1018,rosete-aguilar m.,1
1019,frigori r.b.,1
1020,caro m.a.,1
1021,laurila t.,1
1022,prudente f.v.,1
1023,de souza f.j.,1
1024,meneses l.,1
1025,de mello f.l.,1
1026,tronco-jurado u.,1
1027,saucedo-flores e.,1
1028,ruelas r.,1
1029,lópez r.,1
1030,alvarez-ramos m.e.,1
1031,ayón a.a.,1
1032,silva j.j.b.,1
1033,duarte-filho g.c.,1
1034,claro m.s.,1
1035,morocho s.,1
1036,garcía lópez de lacalle j.,1
1037,welter g.s.,1
1038,gull c.,1
1039,laplante s.,1
1040,laurière m.,1
1041,nolin a.,1
1042,roland j.,1
1043,senno g.,1
1044,heiberg h.,1
1045,kumar k.,1
1046,duarte f.,1
1047,pimentel a.s.,1
1048,paton r.s.,1
1049,minkov m.t.,1
1050,cohn i.,1
1051,pereira e.g.,1
1052,sousa p.r.m.,1
1053,fonseca a.l.d.,1
1054,nunes r.r.,1
1055,braga v.m.l.,1
1056,"comar m., jr.",1
1057,alves r.j.,1
1058,varotti f.d.p.,1
1059,taranto a.g.,1
1060,buksman e.,1
1061,quivy a.a.,1
1062,esquef p.a.a.,1
1063,euclides h.o.,1
1064,méndez-maldonado g.a.,1
1065,santos m.f.,1
1066,amaro de faria a.c.,1
1067,zubov d.,1
1068,volponi f.,1
1069,khosravy m.,1
1070,bednárová z.,1
1071,reinhardt k.,1
1072,medeiros r.a.c.,1
1073,pedroso d.m.,1
1074,passaro a.,1
1075,núñez-rojas e.,1
1076,orieux a.,1
1077,bresme f.,1
1078,duarte d.j.r.,1
1079,angelina e.l.,1
1080,peruchena n.m.,1
1081,solano-altamirano j.m.,1
1082,hernández-pérez j.m.,1
1083,sun b.,1
1084,dong f.,1
1085,cariello d.,1
1086,nakanishi m.,1
1087,monken c.h.,1
1088,cuevas a.,1
1089,de oliveira r.l.f.,1
1090,köster a.,1
1091,cox c.e.,1
1092,phifer j.r.,1
1093,ferreira da silva l.,1
1094,gonçalves nogueira g.,1
1095,ley r.t.,1
1096,o’loughlin e.j.,1
1097,pereira barbosa a.k.,1
1098,rygelski b.t.,1
1099,paluch a.s.,1
1100,clavaguéra c.,1
1101,orozco-gonzalez y.,1
1102,bernardes n.k.,1
1103,manathunga m.,1
1104,marín m.d.c.,1
1105,agathangelou d.,1
1106,jung k.-h.,1
1107,melaccio f.,1
1108,ferré n.,1
1109,haacke s.,1
1110,coutinho k.,1
1111,olivucci m.,1
1112,razeto p.,1
1113,p. barreto p.r.,1
1114,ayon a.,1
1115,lherbier a.,1
1116,graves c.,1
1117,sales d.,1
1118,rojas r.a.,1
1119,luo w.,1
1120,murray v.,1
1121,lu y.m.,1
1122,bruel p.,1
1123,chalamalasetti s.r.,1
1124,dalton c.,1
1125,hajj i.e.,1
1126,goldman a.,1
1127,hwu w.-m.,1
1128,fogel g.g.,1
1129,laplante p.,1
1130,milojicic d.,1
1131,ndu g.,1
1132,strachan j.p.,1
1133,viana m.a.a.,1
1134,araújo r.c.m.u.,1
1135,neto j.a.m.,1
1136,chame h.c.,1
1137,pereira a.m.,1
1138,solano j.r.,1
1139,trindade a.,1
1140,guerra a.g.a.h.,1
1141,durán á.m.,1
1142,shukri a.a.,1
1143,liu f.,1
1144,lukačević i.,1
1145,martins c.,1
1146,oliveira m.j.t.,1
1147,poncé s.,1
1148,pouillon y.,1
1149,rangel t.,1
1150,rignanese g.-m.,1
1151,rousseau b.,1
1152,rubel o.,1
1153,stankovski m.,1
